"ID","host_id","price_dollars","latitude","longitude","dist_stephansdom_km","dist_schonbrunn_km","dist_train_station_km","neighbourhood","room_type","accomodates","bathrooms","beds","cleaning_service","air_conditioning","self_checkin","host_acceptance_rate","host_listings_count","number_of_reviews","apt_age_days","review_scores_rating","reviews_per_month"
61662,166283,100,48.21924,16.37831,1.29,6.5,3.79,"Leopoldstadt","Entire home/apt",5,1,3,"0","0","0",1,3,390,4922,4.74,2.38
67869,175131,169,48.18434,16.32701,4.35,1.66,3.46,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,3,"0","1","1",0.88,16,217,5153,4.86,1.26
12985,166283,80,48.21778,16.37847,1.14,6.42,3.63,"Leopoldstadt","Entire home/apt",2,1,2,"0","0","0",1,3,380,4977,4.67,2.29
39924,358842,50,48.2176,16.38018,1.16,6.52,3.63,"Leopoldstadt","Private room",2,2,2,"0","0","0",0.92,3,116,4917,4.77,0.71
78292,421075,60,48.20075,16.33278,3.13,2.55,3.48,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,2,"0","0","1",0.98,2,178,4915,4.35,1.09
72554,489611,131,48.20599,16.3489,1.85,3.87,2.94,"Neubau","Private room",4,1,2,"0","0","1",1,3,773,4893,4.85,4.74
55403,175131,91,48.18467,16.32795,4.27,1.73,3.39,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,4,"0","1","1",0.88,16,143,4546,4.87,0.94
75160,175131,111,48.18445,16.32722,4.33,1.68,3.44,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,3,"0","1","1",0.88,16,124,4846,4.88,0.77
56434,608240,110,48.2158,16.39034,1.51,7.08,3.61,"Leopoldstadt","Entire home/apt",4,1,2,"0","0","0",1,2,430,4843,4.96,2.66
19641,977695,69,48.21265,16.33539,2.88,3.61,4.16,"Ottakring","Entire home/apt",2,1,1,"0","0","1",1,1,20,4307,4.47,0.14
69133,3809727,120,48.21366,16.37426,0.62,5.92,3.16,"Innere Stadt","Entire home/apt",4,1,3,"0","0","0",0.4,1,530,4338,4.94,3.67
62131,861392,159,48.22728,16.37061,2.15,6.59,4.68,"Brigittenau","Entire home/apt",8,1,6,"0","0","1",0.81,4,140,4185,4.76,1
24182,1547126,242,48.20751,16.37899,0.4,5.93,2.5,"Innere Stadt","Entire home/apt",5,2,1,"0","0","1",0.99,55,302,4330,4.72,2.09
25179,2418146,97,48.22883,16.37384,2.31,6.89,4.84,"Brigittenau","Entire home/apt",6,2,3,"0","0","0",0.99,17,222,4308,4.83,1.55
37167,1189537,76,48.21409,16.36324,1.02,5.25,3.3,"Innere Stadt","Private room",2,1,1,"0","0","0",1,3,1,3050,4,0.01
99708,675182,154,48.22353,16.31773,4.48,4.14,5.94,"Hernals","Entire home/apt",4,1,2,"0","1","0",1,17,6,2144,5,0.08
19096,808772,56,48.19527,16.36374,1.6,4.45,1.33,"Wieden","Private room",2,1,1,"0","0","0",0.92,1,426,4781,4.76,2.67
40537,809077,73,48.19469,16.35963,1.81,4.13,1.48,"Margareten","Entire home/apt",3,1,1,"0","0","1",0.99,11,101,3391,4.83,0.89
66218,809077,87,48.19469,16.35963,1.81,4.13,1.48,"Margareten","Entire home/apt",5,1,2,"0","0","1",0.99,11,91,4685,4.71,0.58
17988,495496,89,48.19571,16.37501,1.38,5.28,1.17,"Wieden","Entire home/apt",3,1,2,"0","1","0",0.58,1,183,4725,4.68,1.16
23535,4111982,99,48.19278,16.34131,2.94,2.76,2.54,"Mariahilf","Entire home/apt",6,2,4,"0","0","0",0.15,2,50,4270,4.94,0.35
16215,861392,139,48.22728,16.37061,2.15,6.59,4.68,"Brigittenau","Entire home/apt",5,1,3,"0","0","1",0.81,4,52,4271,4.79,0.37
93518,1108400,58,48.21892,16.38377,1.42,6.82,3.82,"Leopoldstadt","Entire home/apt",4,1,3,"1","0","1",1,13,157,4300,4.6,1.1
39393,4208823,120,48.19717,16.35436,1.87,3.82,1.95,"Mariahilf","Entire home/apt",2,1,1,"0","0","0",0.9,1,67,4276,4.87,0.47
63240,358163,85,48.23796,16.42418,5.01,10.48,6.95,"Donaustadt","Entire home/apt",4,1,2,"0","0","0",0,4,9,3601,4.78,0.07
38824,4361476,108,48.2012,16.34504,2.25,3.35,2.76,"Neubau","Entire home/apt",2,1,1,"0","0","1",0.57,9,23,4081,4.87,0.17
10040,4236636,100,48.20664,16.39123,1.31,6.75,2.71,"Landstraße","Entire home/apt",4,1,1,"0","0","0",1,7,100,3813,4.83,0.79
24425,4361476,90,48.20083,16.3453,2.25,3.35,2.72,"Neubau","Entire home/apt",2,1,1,"0","0","1",0.57,9,25,4203,4.92,0.18
82819,4361476,95,48.20099,16.34488,2.27,3.33,2.76,"Neubau","Entire home/apt",2,1,1,"0","0","1",0.57,9,30,4183,4.79,0.22
61655,1440944,72,48.19328,16.36755,1.71,4.69,1,"Wieden","Entire home/apt",4,1,1,"0","0","1",1,3,288,4388,4.67,1.97
68526,1108400,54,48.21699,16.3839,1.25,6.72,3.61,"Leopoldstadt","Entire home/apt",4,1,4,"0","0","1",1,13,248,4635,4.62,1.61
87008,1100216,49,48.18461,16.35976,2.81,4.07,1.03,"Margareten","Entire home/apt",4,1,2,"0","1","1",1,2,331,4609,4.51,2.15
53041,1537009,69,48.23456,16.37933,2.97,7.62,5.5,"Brigittenau","Entire home/apt",4,1,1,"0","0","0",1,2,87,4631,4.5,0.56
87836,1547126,320,48.20994,16.3787,0.43,6.02,2.77,"Innere Stadt","Entire home/apt",6,2,2,"0","0","1",0.99,55,495,4609,4.66,3.22
16133,1557725,94,48.1967811584473,16.403787612915,2.56,7.4,2.58,"Landstraße","Entire home/apt",2,1,2,"0","0","1",0.88,6,20,4508,4.75,0.13
